Member_ID,Seasonal_Pass,Purchase_Count,Total_Spent,Avg_Purchase,Games_Attended,Age_Group,Region
10000049,False,2,187,93.5,5,26-40,Domestic
10000050,False,2,70,35.0,5,26-40,Domestic
10000051,False,1,152,152.0,8,26-40,Domestic
10000052,False,2,192,96.0,1,18-25,Domestic
10000053,False,1,50,50.0,2,41-60,Domestic
10000054,False,2,304,152.0,4,18-25,Domestic
10000055,True,1,75,75.0,18,18-25,Domestic
10000056,False,1,25,25.0,1,18-25,Domestic
10000057,False,1,152,152.0,8,26-40,Domestic
10000058,False,1,25,25.0,6,<18,Domestic
10000059,False,2,202,101.0,5,<18,Domestic
10000060,False,2,115,57.5,2,26-40,Domestic
10000061,False,2,95,47.5,5,26-40,Domestic
10000062,False,1,20,20.0,4,26-40,Domestic
10000063,False,1,35,35.0,4,60+,Domestic
10000064,False,2,110,55.0,5,26-40,International
10000065,False,2,75,37.5,2,18-25,Domestic
10000066,False,2,192,96.0,2,41-60,Domestic
10000067,False,2,125,62.5,7,41-60,Domestic
10000068,False,1,152,152.0,6,18-25,Domestic
10000069,False,2,100,50.0,5,60+,Domestic
10000070,False,2,100,50.0,3,26-40,Domestic
10000071,False,1,75,75.0,7,26-40,Domestic
10000072,False,1,90,90.0,6,18-25,Domestic
10000073,False,1,20,20.0,7,41-60,Domestic
10000074,False,2,110,55.0,7,<18,International
10000075,False,2,95,47.5,7,41-60,Domestic
10000076,False,1,50,50.0,5,18-25,Domestic
10000077,False,2,110,55.0,6,26-40,Domestic
10000078,True,1,25,25.0,28,18-25,International
10000079,True,2,110,55.0,24,18-25,Domestic
10000080,True,1,25,25.0,30,41-60,Domestic
10000081,False,1,75,75.0,6,<18,Domestic
10000082,False,2,177,88.5,2,18-25,Domestic
10000083,False,1,35,35.0,1,18-25,Domestic
10000084,False,2,187,93.5,8,18-25,Domestic
10000085,False,1,152,152.0,1,41-60,Domestic
10000086,False,2,227,113.5,8,41-60,Domestic
10000087,False,2,242,121.0,1,26-40,Domestic
10000088,False,2,187,93.5,3,18-25,Domestic
10000089,False,2,165,82.5,7,18-25,Domestic
10000090,False,2,125,62.5,3,18-25,Domestic
10000091,False,2,172,86.0,7,18-25,Domestic
10000092,False,2,172,86.0,5,26-40,Domestic
10000093,False,2,227,113.5,3,41-60,Domestic
10000094,False,2,202,101.0,1,41-60,Domestic
10000095,True,1,75,75.0,29,60+,Domestic
10000096,False,2,125,62.5,3,41-60,Domestic
10000097,True,1,152,152.0,26,41-60,International
10000098,False,1,35,35.0,5,18-25,Domestic
10000099,False,2,75,37.5,7,18-25,Domestic
10000100,False,2,110,55.0,2,<18,International
10000101,False,1,50,50.0,1,41-60,Domestic
10000102,False,2,125,62.5,1,18-25,Domestic
10000103,False,2,125,62.5,3,18-25,Domestic
10000104,False,2,187,93.5,8,18-25,Domestic
10000105,False,2,65,32.5,6,41-60,Domestic
10000106,False,2,100,50.0,1,26-40,Domestic
10000107,False,1,75,75.0,5,18-25,Domestic
10000108,False,1,75,75.0,7,41-60,Domestic
10000109,False,1,20,20.0,1,18-25,Domestic
10000110,False,2,75,37.5,6,18-25,Domestic
10000111,True,1,75,75.0,19,18-25,Domestic
10000112,False,2,150,75.0,8,18-25,Domestic
10000113,False,2,125,62.5,6,18-25,Domestic
10000114,False,1,25,25.0,5,26-40,International
10000115,False,2,110,55.0,2,26-40,Domestic
10000116,False,2,60,30.0,6,<18,Domestic
10000117,False,2,100,50.0,4,26-40,Domestic
10000118,False,2,100,50.0,8,<18,Domestic
10000119,False,1,90,90.0,4,26-40,Domestic
10000120,False,2,125,62.5,5,41-60,Domestic
10000121,False,2,140,70.0,1,<18,Domestic
10000122,False,2,55,27.5,6,18-25,Domestic
10000123,False,2,100,50.0,7,60+,Domestic
10000124,False,2,172,86.0,8,26-40,Domestic
10000125,False,2,177,88.5,4,18-25,Domestic
10000126,False,1,75,75.0,7,26-40,Domestic
10000127,False,1,20,20.0,2,26-40,Domestic
10000128,False,2,90,45.0,5,41-60,Domestic
10000129,True,2,172,86.0,28,60+,Domestic
10000130,False,1,35,35.0,4,<18,International
10000131,False,2,150,75.0,5,26-40,Domestic
10000132,False,2,180,90.0,4,60+,International
10000133,False,1,40,40.0,8,26-40,Domestic
10000134,False,2,172,86.0,8,41-60,Domestic
10000135,False,2,110,55.0,3,18-25,Domestic
10000136,False,2,60,30.0,7,26-40,Domestic
10000137,False,2,115,57.5,2,26-40,Domestic
10000138,False,1,75,75.0,7,<18,Domestic
10000139,False,1,50,50.0,4,60+,Domestic
10000140,True,1,75,75.0,22,41-60,Domestic
10000141,False,2,125,62.5,7,41-60,Domestic
10000142,False,1,40,40.0,2,18-25,Domestic
10000143,False,1,20,20.0,1,18-25,International
10000144,False,1,75,75.0,8,18-25,Domestic
10000145,False,2,172,86.0,2,41-60,Domestic
10000146,False,1,40,40.0,6,18-25,Domestic
10000147,False,2,70,35.0,4,18-25,Domestic
10000148,False,1,152,152.0,7,<18,Domestic
10000149,False,1,152,152.0,5,<18,Domestic
10000150,False,2,95,47.5,6,18-25,International
10000151,False,1,20,20.0,1,26-40,Domestic
10000152,False,2,95,47.5,5,41-60,Domestic
10000153,False,2,100,50.0,2,18-25,Domestic
10000154,True,2,150,75.0,29,26-40,Domestic
10000155,False,1,35,35.0,8,18-25,Domestic
10000156,False,2,95,47.5,4,<18,Domestic
10000157,False,2,227,113.5,7,18-25,Domestic
10000158,False,2,75,37.5,2,41-60,Domestic
10000159,False,2,150,75.0,7,26-40,Domestic
10000160,False,1,40,40.0,1,26-40,Domestic
10000161,False,2,125,62.5,5,26-40,Domestic
10000162,False,1,35,35.0,1,26-40,Domestic
10000163,False,2,125,62.5,1,26-40,Domestic
10000164,False,2,202,101.0,1,41-60,Domestic
10000165,False,2,115,57.5,8,26-40,Domestic
10000166,False,1,75,75.0,1,18-25,Domestic
10000167,False,1,152,152.0,8,60+,Domestic
10000168,False,2,90,45.0,3,18-25,International
10000169,False,1,35,35.0,2,26-40,Domestic
10000170,False,1,40,40.0,7,<18,Domestic
10000171,False,1,50,50.0,6,18-25,Domestic
10000172,False,2,150,75.0,7,18-25,Domestic
10000173,False,1,75,75.0,7,26-40,Domestic
10000174,False,2,100,50.0,3,41-60,International
10000175,False,1,50,50.0,5,41-60,Domestic
10000176,False,2,110,55.0,2,<18,Domestic
10000177,False,2,304,152.0,1,18-25,Domestic
10000178,False,2,100,50.0,3,26-40,Domestic
10000179,False,1,90,90.0,6,18-25,Domestic
10000180,False,2,227,113.5,3,41-60,Domestic
10000181,False,2,150,75.0,5,<18,International
10000182,False,1,20,20.0,8,26-40,Domestic
10000183,False,2,70,35.0,3,<18,Domestic
10000184,True,2,115,57.5,18,41-60,Domestic
10000185,False,1,35,35.0,8,18-25,Domestic
10000186,False,1,75,75.0,4,26-40,Domestic
10000187,False,1,75,75.0,2,26-40,Domestic
10000188,False,1,75,75.0,2,18-25,Domestic
10000189,False,1,75,75.0,4,26-40,Domestic
10000190,False,2,140,70.0,7,18-25,Domestic
10000191,False,2,60,30.0,3,18-25,Domestic
10000192,False,2,125,62.5,1,41-60,Domestic
10000193,False,2,60,30.0,2,18-25,Domestic
10000194,False,2,70,35.0,6,18-25,Domestic
10000195,False,1,75,75.0,1,<18,Domestic
10000196,False,2,150,75.0,3,18-25,Domestic
10000197,False,2,165,82.5,2,<18,Domestic
10000198,False,2,100,50.0,2,26-40,Domestic
10000199,True,1,50,50.0,17,18-25,Domestic
10000200,False,1,25,25.0,7,41-60,Domestic
10000201,True,2,85,42.5,22,41-60,Domestic
10000202,False,2,110,55.0,1,41-60,Domestic
10000203,False,2,227,113.5,1,41-60,Domestic
10000204,False,2,115,57.5,5,26-40,Domestic
10000205,False,1,75,75.0,8,18-25,Domestic
10000206,False,2,227,113.5,1,41-60,Domestic
10000207,False,1,25,25.0,6,18-25,Domestic
10000208,False,1,75,75.0,6,26-40,Domestic
10000209,False,2,45,22.5,1,<18,Domestic
10000210,False,1,50,50.0,7,26-40,Domestic
10000211,False,2,150,75.0,1,41-60,Domestic
10000212,True,2,177,88.5,18,26-40,Domestic
10000213,False,2,192,96.0,6,26-40,Domestic
10000214,False,1,75,75.0,2,18-25,Domestic
10000215,False,1,50,50.0,8,26-40,Domestic
10000216,False,1,35,35.0,8,18-25,Domestic
10000217,False,1,50,50.0,5,26-40,Domestic
10000218,False,1,152,152.0,6,<18,Domestic
10000219,False,1,35,35.0,7,<18,Domestic
10000220,False,2,125,62.5,2,60+,Domestic
10000221,False,2,110,55.0,1,18-25,Domestic
10000222,False,2,70,35.0,7,26-40,Domestic
10000223,False,2,242,121.0,7,<18,Domestic
10000224,False,1,152,152.0,3,18-25,Domestic
10000225,False,1,75,75.0,4,26-40,Domestic
10000226,False,2,125,62.5,7,<18,Domestic
10000227,False,2,187,93.5,5,<18,International
10000228,False,2,125,62.5,4,26-40,Domestic
10000229,False,2,150,75.0,1,18-25,Domestic
10000230,False,2,227,113.5,8,26-40,Domestic
10000231,False,2,227,113.5,7,18-25,Domestic
10000232,True,2,227,113.5,30,26-40,Domestic
10000233,False,1,75,75.0,7,26-40,Domestic
10000234,False,1,75,75.0,3,18-25,Domestic
10000235,False,1,25,25.0,8,18-25,Domestic
10000236,False,2,130,65.0,1,18-25,Domestic
10000237,False,1,35,35.0,7,18-25,Domestic
10000238,False,1,35,35.0,3,26-40,Domestic
10000239,False,2,115,57.5,4,18-25,Domestic
10000240,False,2,165,82.5,8,60+,Domestic
10000241,False,1,75,75.0,5,18-25,Domestic
10000242,False,1,152,152.0,2,41-60,Domestic
10000243,False,1,25,25.0,2,<18,Domestic
10000244,True,1,40,40.0,27,<18,Domestic
10000245,False,1,152,152.0,5,26-40,Domestic
10000246,False,1,25,25.0,6,26-40,Domestic
10000247,False,1,152,152.0,3,18-25,Domestic
10000248,False,1,75,75.0,5,26-40,Domestic
10000249,False,2,227,113.5,2,26-40,Domestic
10000250,False,2,227,113.5,3,18-25,Domestic
10000251,False,1,75,75.0,3,18-25,Domestic
10000252,False,2,130,65.0,1,18-25,Domestic
10000253,False,2,60,30.0,2,26-40,Domestic
10000254,False,1,25,25.0,4,41-60,Domestic
10000255,False,1,25,25.0,2,18-25,Domestic
10000256,False,1,75,75.0,7,<18,Domestic
10000257,False,2,65,32.5,6,<18,Domestic
10000258,False,1,152,152.0,4,18-25,Domestic
10000259,False,1,75,75.0,2,26-40,Domestic
10000260,False,1,50,50.0,1,26-40,Domestic
10000261,False,2,75,37.5,7,26-40,Domestic
10000262,False,1,75,75.0,2,41-60,Domestic
10000263,True,1,20,20.0,29,41-60,Domestic
10000264,False,2,110,55.0,5,26-40,Domestic
10000265,False,2,110,55.0,7,18-25,Domestic
10000266,False,2,115,57.5,4,26-40,Domestic
10000267,False,1,75,75.0,3,41-60,Domestic
10000268,False,1,75,75.0,6,18-25,Domestic
10000269,False,2,85,42.5,1,41-60,Domestic
10000270,False,2,115,57.5,1,26-40,Domestic
10000271,False,1,40,40.0,6,41-60,Domestic
10000272,False,2,95,47.5,4,18-25,Domestic
10000273,True,2,95,47.5,18,41-60,International
10000274,False,2,55,27.5,4,18-25,Domestic
10000275,True,2,75,37.5,30,26-40,International
10000276,False,1,25,25.0,4,41-60,Domestic
10000277,False,2,110,55.0,8,18-25,Domestic
10000278,False,2,100,50.0,2,60+,International
10000279,False,2,70,35.0,7,26-40,Domestic
10000280,False,2,70,35.0,5,26-40,Domestic
10000281,False,1,75,75.0,4,18-25,Domestic
10000282,True,1,75,75.0,21,18-25,International
10000283,False,1,35,35.0,5,18-25,Domestic
10000284,False,2,75,37.5,3,26-40,Domestic
10000285,False,1,75,75.0,8,<18,Domestic
10000286,False,1,75,75.0,4,18-25,International
10000287,True,1,90,90.0,22,18-25,Domestic
10000288,False,2,227,113.5,5,26-40,Domestic
10000289,False,1,35,35.0,1,26-40,Domestic
10000290,False,2,125,62.5,8,<18,Domestic
10000291,False,2,70,35.0,1,18-25,Domestic
10000292,False,2,187,93.5,8,60+,Domestic
10000293,False,1,35,35.0,8,18-25,Domestic
10000294,False,1,75,75.0,4,18-25,Domestic
10000295,False,2,150,75.0,4,26-40,Domestic
10000296,False,1,90,90.0,7,41-60,Domestic
10000297,False,1,40,40.0,7,18-25,Domestic
10000298,False,1,75,75.0,5,41-60,Domestic
10000299,False,2,110,55.0,7,<18,Domestic
10000300,False,1,35,35.0,1,18-25,Domestic
10000301,False,1,152,152.0,2,18-25,Domestic
10000302,False,2,65,32.5,3,26-40,Domestic
10000303,True,1,152,152.0,20,18-25,Domestic
10000304,False,1,75,75.0,1,18-25,Domestic
10000305,False,1,20,20.0,8,18-25,Domestic
10000306,False,1,50,50.0,3,41-60,Domestic
10000307,False,2,95,47.5,7,26-40,Domestic
10000308,False,2,60,30.0,1,26-40,Domestic
10000309,False,1,35,35.0,5,18-25,Domestic
10000310,False,1,75,75.0,1,18-25,Domestic
10000311,False,2,150,75.0,7,26-40,International
10000312,False,2,125,62.5,7,18-25,Domestic
10000313,False,2,227,113.5,6,26-40,Domestic
10000314,False,2,125,62.5,1,41-60,Domestic
10000315,False,2,187,93.5,1,18-25,Domestic
10000316,False,2,172,86.0,2,41-60,Domestic
10000317,True,1,40,40.0,16,26-40,Domestic
10000318,False,1,50,50.0,1,18-25,International
10000319,False,1,35,35.0,1,<18,Domestic
10000320,False,2,70,35.0,5,18-25,International
10000321,False,2,100,50.0,6,41-60,Domestic
10000322,False,1,75,75.0,2,41-60,Domestic
10000323,False,1,20,20.0,2,<18,Domestic
10000324,False,1,35,35.0,8,18-25,Domestic
10000325,False,2,100,50.0,4,26-40,Domestic
10000326,False,1,35,35.0,8,41-60,Domestic
10000327,False,2,75,37.5,1,26-40,Domestic
10000328,False,1,152,152.0,7,26-40,Domestic
10000329,False,2,115,57.5,6,26-40,Domestic
10000330,False,2,75,37.5,5,26-40,Domestic
10000331,False,1,75,75.0,6,26-40,Domestic
10000332,False,1,35,35.0,6,18-25,Domestic
10000333,False,2,125,62.5,1,41-60,Domestic
10000334,False,2,75,37.5,4,18-25,Domestic
10000335,False,1,75,75.0,3,41-60,International
10000336,False,2,65,32.5,8,18-25,Domestic
10000337,False,1,35,35.0,4,<18,Domestic
10000338,False,2,187,93.5,4,26-40,International
10000339,False,1,40,40.0,2,26-40,Domestic
10000340,False,1,75,75.0,8,<18,Domestic
10000341,False,1,75,75.0,3,41-60,Domestic
10000342,False,2,202,101.0,5,26-40,Domestic
10000343,False,1,40,40.0,3,18-25,Domestic
10000344,False,1,75,75.0,7,18-25,Domestic
10000345,False,2,95,47.5,1,41-60,Domestic
10000346,True,2,50,25.0,19,18-25,Domestic
10000347,False,2,70,35.0,5,<18,Domestic
10000348,False,1,90,90.0,3,18-25,Domestic
10000349,False,1,35,35.0,6,18-25,Domestic
10000350,False,1,20,20.0,3,41-60,Domestic
10000351,False,2,150,75.0,2,18-25,Domestic
10000352,True,2,115,57.5,27,41-60,Domestic
10000353,False,2,70,35.0,3,26-40,Domestic
10000354,False,1,35,35.0,7,41-60,Domestic
10000355,False,2,304,152.0,3,18-25,Domestic
10000356,True,1,75,75.0,26,26-40,Domestic
10000357,False,2,115,57.5,8,26-40,Domestic
10000358,False,2,187,93.5,4,<18,Domestic
10000359,False,1,152,152.0,7,26-40,Domestic
10000360,False,2,110,55.0,5,18-25,Domestic
10000361,False,1,75,75.0,4,41-60,Domestic
10000362,False,2,50,25.0,1,18-25,Domestic
10000363,True,2,95,47.5,26,41-60,Domestic
10000364,False,1,20,20.0,1,41-60,Domestic
10000365,False,1,40,40.0,2,18-25,Domestic
10000366,False,2,110,55.0,3,18-25,Domestic
10000367,False,2,150,75.0,8,26-40,Domestic
10000368,False,2,110,55.0,4,41-60,International
10000369,False,1,152,152.0,6,18-25,Domestic
10000370,False,2,177,88.5,3,41-60,Domestic
10000371,False,2,95,47.5,2,41-60,Domestic
10000372,False,1,50,50.0,2,18-25,Domestic
10000373,False,1,75,75.0,1,41-60,International
10000374,False,2,115,57.5,7,18-25,Domestic
10000375,False,2,187,93.5,5,26-40,Domestic
10000376,False,1,75,75.0,6,60+,Domestic
10000377,True,1,35,35.0,24,26-40,Domestic
10000378,False,2,100,50.0,7,<18,Domestic
10000379,False,1,75,75.0,7,26-40,Domestic
10000380,False,2,110,55.0,1,18-25,Domestic
10000381,False,1,75,75.0,7,41-60,Domestic
10000382,False,2,70,35.0,7,<18,Domestic
10000383,False,2,115,57.5,1,18-25,Domestic
10000384,False,2,110,55.0,1,26-40,Domestic
10000385,False,1,152,152.0,6,18-25,Domestic
10000386,True,2,95,47.5,25,41-60,Domestic
10000387,False,1,40,40.0,6,18-25,Domestic
10000388,False,2,150,75.0,6,18-25,Domestic
10000389,False,2,227,113.5,8,26-40,Domestic
10000390,False,1,75,75.0,4,18-25,Domestic
10000391,False,1,50,50.0,5,<18,Domestic
10000392,False,1,75,75.0,7,<18,Domestic
10000393,False,1,152,152.0,2,60+,Domestic
10000394,False,2,75,37.5,7,41-60,Domestic
10000395,False,2,125,62.5,6,<18,Domestic
10000396,False,2,304,152.0,2,18-25,Domestic
10000397,True,2,150,75.0,27,18-25,Domestic
10000398,False,2,100,50.0,7,18-25,Domestic
10000399,False,2,110,55.0,7,18-25,Domestic
10000400,False,2,110,55.0,2,18-25,Domestic
10000401,False,1,50,50.0,3,18-25,Domestic
10000402,False,1,40,40.0,4,41-60,Domestic
10000403,False,1,75,75.0,5,41-60,Domestic
10000404,False,1,25,25.0,1,18-25,Domestic
10000405,False,1,20,20.0,6,41-60,Domestic
10000406,False,1,75,75.0,6,60+,Domestic
10000407,False,1,25,25.0,7,18-25,Domestic
10000408,False,2,85,42.5,7,41-60,Domestic
10000409,False,1,152,152.0,5,26-40,Domestic
10000410,False,1,50,50.0,6,18-25,Domestic
10000411,False,2,304,152.0,1,26-40,Domestic
10000412,False,2,70,35.0,5,<18,Domestic
10000413,False,2,100,50.0,2,18-25,Domestic
10000414,False,1,40,40.0,1,26-40,Domestic
10000415,False,2,192,96.0,4,41-60,Domestic
10000416,False,1,25,25.0,2,18-25,Domestic
10000417,False,1,50,50.0,4,18-25,Domestic
10000418,False,2,125,62.5,4,26-40,Domestic
10000419,False,1,75,75.0,1,18-25,Domestic
10000420,False,1,152,152.0,4,41-60,Domestic
10000421,False,1,75,75.0,6,41-60,Domestic
10000422,False,2,75,37.5,6,18-25,Domestic
10000423,False,2,50,25.0,5,18-25,Domestic
10000424,False,1,40,40.0,6,18-25,Domestic
10000425,False,2,110,55.0,5,18-25,Domestic
10000426,False,1,50,50.0,4,18-25,Domestic
10000427,False,2,150,75.0,4,26-40,Domestic
10000428,False,2,304,152.0,5,26-40,Domestic
10000429,False,2,60,30.0,4,18-25,Domestic
10000430,False,2,100,50.0,3,41-60,Domestic
10000431,False,1,75,75.0,6,41-60,Domestic
10000432,False,2,227,113.5,4,18-25,Domestic
10000433,False,2,165,82.5,7,18-25,Domestic
10000434,False,2,110,55.0,4,18-25,Domestic
10000435,False,2,110,55.0,4,26-40,Domestic
10000436,False,2,115,57.5,4,18-25,Domestic
10000437,False,1,35,35.0,5,18-25,Domestic
10000438,False,1,75,75.0,3,<18,Domestic
10000439,False,2,187,93.5,1,<18,International
10000440,True,2,95,47.5,21,18-25,Domestic
10000441,False,2,227,113.5,7,26-40,Domestic
10000442,False,2,202,101.0,1,18-25,Domestic
10000443,False,2,85,42.5,8,60+,Domestic
10000444,False,2,304,152.0,5,18-25,Domestic
10000445,False,2,150,75.0,6,26-40,Domestic
10000446,False,2,60,30.0,8,18-25,Domestic
10000447,False,1,40,40.0,2,18-25,Domestic
10000448,False,1,152,152.0,7,18-25,Domestic
10000449,False,1,35,35.0,7,41-60,Domestic
10000450,False,2,100,50.0,2,18-25,Domestic
10000451,False,2,85,42.5,6,26-40,Domestic
10000452,False,2,125,62.5,5,18-25,Domestic
10000453,False,2,125,62.5,6,26-40,Domestic
10000454,False,2,125,62.5,3,18-25,Domestic
10000455,False,2,165,82.5,7,26-40,Domestic
10000456,False,1,35,35.0,2,41-60,Domestic
10000457,False,1,152,152.0,3,18-25,Domestic
10000458,False,1,152,152.0,7,18-25,International
10000459,False,2,187,93.5,8,18-25,Domestic
10000460,True,1,40,40.0,18,26-40,Domestic
10000461,False,1,40,40.0,2,41-60,International
10000462,False,1,152,152.0,2,41-60,Domestic
10000463,False,2,150,75.0,6,18-25,Domestic
10000464,False,1,75,75.0,2,26-40,Domestic
10000465,False,2,150,75.0,6,26-40,Domestic
10000466,False,2,115,57.5,1,41-60,Domestic
10000467,False,1,90,90.0,3,18-25,Domestic
10000468,False,1,35,35.0,8,26-40,Domestic
10000469,False,2,110,55.0,6,18-25,Domestic
10000470,False,2,227,113.5,1,26-40,Domestic
10000471,False,1,40,40.0,5,26-40,Domestic
10000472,False,1,75,75.0,6,18-25,Domestic
10000473,False,1,75,75.0,1,18-25,Domestic
10000474,False,1,152,152.0,4,26-40,Domestic
10000475,True,1,75,75.0,19,18-25,Domestic
10000476,False,1,75,75.0,6,18-25,International
10000477,False,2,187,93.5,5,18-25,Domestic
10000478,True,2,85,42.5,16,18-25,Domestic
10000479,False,1,75,75.0,1,18-25,Domestic
10000480,True,1,50,50.0,18,60+,Domestic
10000481,False,2,95,47.5,8,18-25,Domestic
10000482,False,2,242,121.0,2,18-25,Domestic
10000483,False,1,75,75.0,4,41-60,Domestic
10000484,False,2,60,30.0,1,18-25,Domestic
10000485,False,2,150,75.0,4,41-60,Domestic
10000486,False,1,75,75.0,7,41-60,Domestic
10000487,True,1,75,75.0,19,60+,Domestic
10000488,False,1,35,35.0,2,26-40,Domestic
10000489,False,1,75,75.0,7,<18,Domestic
10000490,False,2,60,30.0,1,<18,Domestic
10000491,False,2,70,35.0,8,18-25,Domestic
10000492,True,1,50,50.0,24,41-60,Domestic
10000493,True,1,75,75.0,19,60+,International
10000494,False,2,150,75.0,6,18-25,Domestic
10000495,False,1,25,25.0,1,26-40,Domestic
10000496,False,2,227,113.5,2,41-60,Domestic
10000497,False,2,180,90.0,4,41-60,Domestic
10000498,False,1,40,40.0,8,26-40,Domestic
10000499,True,2,165,82.5,30,18-25,Domestic
10000500,False,1,40,40.0,1,<18,Domestic
10000501,False,1,90,90.0,5,18-25,Domestic
10000502,False,2,115,57.5,8,41-60,Domestic
10000503,False,2,85,42.5,6,18-25,Domestic
10000504,False,2,110,55.0,5,18-25,Domestic
10000505,False,2,70,35.0,6,18-25,Domestic
10000506,False,2,150,75.0,5,18-25,Domestic
10000507,False,1,20,20.0,1,18-25,Domestic
10000508,False,1,25,25.0,6,26-40,Domestic
10000509,False,2,100,50.0,6,41-60,Domestic
10000510,False,1,75,75.0,1,26-40,Domestic
10000511,False,2,115,57.5,4,18-25,Domestic
10000512,False,1,75,75.0,7,18-25,Domestic
10000513,False,2,165,82.5,3,18-25,Domestic
10000514,False,2,90,45.0,1,18-25,Domestic
10000515,False,1,20,20.0,6,<18,Domestic
10000516,False,2,95,47.5,7,18-25,Domestic
10000517,False,2,55,27.5,2,41-60,Domestic
10000518,False,1,50,50.0,4,18-25,Domestic
10000519,False,1,75,75.0,3,18-25,Domestic
10000520,False,1,25,25.0,4,41-60,Domestic
10000521,False,1,90,90.0,3,41-60,International
10000522,False,1,75,75.0,7,18-25,Domestic
10000523,False,2,227,113.5,5,60+,Domestic
10000524,False,1,50,50.0,1,41-60,Domestic
10000525,False,2,100,50.0,7,26-40,International
10000526,False,2,60,30.0,2,<18,Domestic
10000527,True,2,125,62.5,20,41-60,Domestic
10000528,False,1,25,25.0,7,18-25,Domestic
10000529,False,1,50,50.0,8,18-25,Domestic
10000530,False,2,150,75.0,2,18-25,Domestic
10000531,False,2,227,113.5,7,18-25,Domestic
10000532,True,2,187,93.5,21,18-25,Domestic
10000533,False,1,75,75.0,2,18-25,Domestic
10000534,False,2,55,27.5,7,26-40,Domestic
10000535,False,1,25,25.0,2,18-25,Domestic
10000536,False,2,150,75.0,5,41-60,Domestic
10000537,False,1,40,40.0,3,41-60,Domestic
10000538,False,1,40,40.0,2,26-40,Domestic
10000539,True,2,110,55.0,16,26-40,Domestic
10000540,False,2,227,113.5,7,<18,Domestic
10000541,True,1,35,35.0,21,60+,Domestic
10000542,False,2,85,42.5,6,26-40,Domestic
10000543,False,1,25,25.0,7,<18,Domestic
10000544,False,2,150,75.0,3,<18,Domestic
10000545,False,1,152,152.0,2,18-25,International
10000546,False,2,150,75.0,7,26-40,Domestic
10000547,False,2,115,57.5,7,18-25,Domestic
10000548,False,2,100,50.0,4,18-25,Domestic
10000549,False,2,150,75.0,5,18-25,Domestic
10000550,False,2,100,50.0,3,26-40,Domestic
10000551,False,2,192,96.0,1,18-25,Domestic
10000552,False,2,165,82.5,4,60+,Domestic
10000553,False,1,35,35.0,7,41-60,Domestic
10000554,False,2,125,62.5,8,18-25,Domestic
10000555,False,2,110,55.0,5,<18,Domestic
10000556,False,2,150,75.0,1,18-25,Domestic
10000557,False,2,227,113.5,7,<18,Domestic
10000558,False,2,55,27.5,6,<18,Domestic
10000559,True,1,20,20.0,21,26-40,Domestic
10000560,False,1,35,35.0,7,26-40,International
10000561,True,2,125,62.5,30,41-60,Domestic
10000562,False,1,75,75.0,3,60+,International
10000563,False,2,45,22.5,5,26-40,Domestic
